,Model,Dataset,Fold,Score,Metric
427,TREANT,banknote-authentication,3,0.9416058394160584,adversarial accuracy
428,TREANT,banknote-authentication,4,0.9671532846715328,accuracy
429,TREANT,banknote-authentication,4,0.9635036496350365,adversarial accuracy
430,TREANT,blood-transfusion,0,0.76,accuracy
431,TREANT,blood-transfusion,0,0.76,adversarial accuracy
432,TREANT,blood-transfusion,1,0.7666666666666667,accuracy
433,TREANT,blood-transfusion,1,0.7666666666666666,adversarial accuracy
434,TREANT,blood-transfusion,2,0.7666666666666667,accuracy
435,TREANT,blood-transfusion,2,0.76,adversarial accuracy
436,TREANT,blood-transfusion,3,0.785234899328859,accuracy
437,TREANT,blood-transfusion,3,0.7785234899328859,adversarial accuracy
438,TREANT,blood-transfusion,4,0.7449664429530202,accuracy
439,TREANT,blood-transfusion,4,0.7449664429530201,adversarial accuracy
440,TREANT,breast-cancer,0,0.9473684210526315,accuracy
441,TREANT,breast-cancer,0,0.9473684210526316,adversarial accuracy
442,TREANT,breast-cancer,1,0.9473684210526315,accuracy
443,TREANT,breast-cancer,1,0.9298245614035088,adversarial accuracy
444,TREANT,breast-cancer,2,0.9210526315789473,accuracy
